[MoSCoW],Case Study 2
Self-assessment option,M
Certification,S
Score,M
Results can be published,S
Predefined indicators,M
Extendable with indicators,M
Question/indicator explanation,M
Official tool support,M
Offline tool,W
Online tool,M
Whistle blowing mechanism,M
Built-in survey tool,M
Infographic generation,M
Network tool (connect organisations),S
Many users in one account,M
Tool is continuously improved,M
Internal validation,S
Peer review,S
External audit,M
Existence of network,M
Democratic method development,S
Method is continuously improved,M
Input from the community,M
Local network groups,M
Network specific events,S
Helpdesk,M
Training material,M
Online directory,M
Map,M
Official label/logo for members,M
Newsletter,S
Social topics,M
Environmental topics,M
Support SIP,M
Suggested goals,S
Ideas for improvements,S
Existence of social market,M
Discount from members,S
Mapping to SDGs,S
Workshop/webinar on SDGs,S
Existence of aggregated report,S
Comparing results within network,M
Serious blogs (medium[comma] network website[comma] etc.),S
Major newspapers (local),S
Expelling members,M
Commitment statement,C
Public manuals,S
Mentioned in scientific papers,C
Tool or method adapts to organisational characteristics (e.g. size or industry),M
Principle based,S
Popularity in the market,C
Network maturity,S
