[MoSCoW],Case Study 3
General-purpose platform,N
Process app platform,N
Mobile app platform,N
Request-handling platform,N
Model-centric (Low-code),M
Model only (No-code),M
Domain Experts,S
Business Analysts,M
Professional Developers,C
Visual IDE,C
Multi-channel/Cross-platform Application,N
Programming mandatory,N
Programming optional,M
Integration,N
Cross-Platform Integration,N
Integrate with an ERP system,M
data mapping,N
REST ,N
SOAP ,N
OData services,N
importing data,N
Deployment,N
Public Cloud platform,N
Private Cloud platform,M
On-premise,N
 access control,N
Identity and permissions management,M
Multi-factor authentication (MFA),N
OAuth,N
Single Sign-On (SSO),N
Data Management,N
SQL or NoSQL databases,M
Web API,N
Service Calls,N
local application-specific databases,N
Connectors to various back-ends or services,N
Real-time Analytics,C
Report and Analytics,C
Application lifecycle manager,N
user stories,N
Built-in team collaboration,N
sandbox-to-production phases,N
component catalogs,N
Application and portfolio management ,N
Version control,C
Administrative controls,N
Tool set,M
Form & View,S
Predefined components,M
Multilingual Apps,N
Company-Branded Templates & Styling,N
Create extensions and widget libraries,N
Entity-Attribute-Relationship (EAR),S
Object-Role Modeling (ORM),C
Computational ontology,C
Data rules,S
Process rules,S
Decision table,C
Decision tree,C
Expression editor,S
Natural language rules,C
Close to programming language,C
Programmed,N
Modeling Tool,N
Native modeling tool,C
Web modeling tool,C
Engine,N
Generation,C
Two step generation,C
Model interpretation,C
Storage,N
XML/JSON as data storage,C
Store model locally,C
Portability,N
Convert model to text,C
Support different stacks,S
Plug and play architecture,S
Workflow,M
Process flow,M
Case flow,C
Mobile Apps,N
Web portals,M
Web applications,N
Smartwatch Apps,N
HIPAA compliant,N
ISO 27001-2013 certification,N
SOC 1,N
SOC 2,N
SOC 3,N
PCI DSS,N
GDPR,N
popularity in the market,S
Active Community,N
Maturity level of the company,S
Future Roadmap,N
