[SF],Functional completeness,Functional correctness,Functional appropriateness,Maturity,Availability,Fault tolerance,Recoverability,Time behavior,Resource utilization,Capacity,Appropriateness recognizability,Learnability,Operability,User error protection,User interface aesthetics,Accessibility,Modularity,Reusability,Analyzability,Modifiability,Testability,Confidentiality,Integrity,Non-repudiation,Accountability,Authenticity,Co-existence,Interoperability,Adaptability,Installability,Replaceability,Organizational structure,Positioning and Strength,Reputation,Services Offered,Support,Licensing Schema,Licensing Costs,Platform Cost,Implementation Cost,Network Cost,Stability,Ownership,Deliverables,Parameterization / Customization,Guarantees,[Description]
Political decentralization?,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,system is not controlled by a single individual or organization
Infrastructure decentralization,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,system can tolerate if some parts (computers[comma] nodes[comma] etc) are broken
Direct DAO Governance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Direct democracy or pure democracy is a form of democracy in which people decide on policy initiatives directly. (each person decides directly)
Representative DAO Governance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Representative democracy is a form of democracy in which people vote for representatives who then vote on policy initiatives as opposed to a direct democracy[comma] a form of democracy in which people vote on policy initiatives directly.
Liquid DAO Governance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Liquid Democracy (LD) can be understood as a dynamic hybrid of the two established branches of democracy[comma] direct and representative. Liquid democracy combines many of the upsides of each while doing away with most of their weaknesses. With liquid democracy[comma] you have the option of delegating your vote to an expert that represents your views. Alternatively[comma] you can decide to vote on any given issue yourself. It enables the participants to freely lend and recover the decision power to people they trust to have most knowledge[comma] experience[comma] and interest making the best decisions.
Quadratic voting,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Quadratic Voting is a method of collective decision-making in which a participant votes not just for or against an issue[comma] but also expresses how strongly they feel about it
Conviction voting,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Conviction Voting offers a novel decision making process that funds proposals based on the aggregated preference of community members[comma] expressed continuously
Reputation-based voting,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reputation-based voting (RBV) approach investigates the trustworthiness of the grid resources through a reputation system[comma] and then takes a decision about the results.
Token-weighted Voting,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Token-weighted voting is used to curate user-generated content[comma] and for blockchain governance. Morover[comma] it is used to decide on hard-forks and protocol upgrades.
Token-based voting,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,In token-based voting[comma] one can buy tokens[comma] vote[comma] and sell the tokens[comma] which dramatically shifts incentives. Token-voting can even be automated  such that contracts auction their voting right for each proposal.
TCR Based Voting,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,TCR (token curated registry) is an automated way to create lists of any kind where decisions (whether to include N or not) are made through voting that brings benefit or loss to voters.
Delegable Voting,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Voting by delegable is a form of direct democracy that allows the entire voting population to vote on each bill before parliament. Rather than voting directly on a bill[comma] you delegate your vote to a sitting member of parliament who casts your vote on your behalf. You can change your delegate as often as you like and be as active in the political process as you wish. Those who wish to be less involved can keep the same delegate indefinitely[comma] and their delegate will continue to cast votes on their behalf. This would ease the burden of voting as there would be no requirement to make everyone vote regularly and at the same time in order to achieve a parliament that represents the wishes of the people. Alternatively[comma] those who wish to become more involved can change their delegate as often as is necessary to ensure that their vote is cast as they desire. In this way the system effectively achieves direct democracy[comma] without the burden usually associated with direct democracy.
Lazy consensus,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Decentralized decision making which avoid voting where possible
On-Chain Resources,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,On-Chain Resources
Upgradeable contract,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,The exclusive usage of on-chain resources allows a DAO to directly exert control and initiate action via a smart contract that may or may not be upgradeable.
Off-Chain Resources,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,Off-Chain Resources
Natural person,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,When using off-chain assets (such as fiat currencies)[comma] a natural person or legal entity (in jargon “legal personhood”) must be assigned control over the respective assets.
Legal Entity,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,An entity (as a corporation or labor union) having under the law rights and responsibilities and especially the capacity to sue and be sued.
Smart contracts,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A smart contract is an application or program that runs on a blockchain. Typically[comma] they work as a digital agreement that is enforced by a specific set of rules. These rules are predefined by computer code[comma] which is replicated and executed by all network nodes.
Arbitrary transactions,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Interact with any other contract on the same chain (or across chains via a bridge)
Rage Quit,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,It allows a user to liquidate some or all of their shares into ETH[comma] in the event they don’t affirmatively vote for a proposal. If they liquidate all of their shares[comma] they cease to be a member of the DAO.
Shared Resource,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,A Shared Resource is a durable asset that can be used by many people. Shared resources allow you to create the asset once[comma] then charge your customers for its use.
Funds,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,Token holders can become contractors by submitting proposals for funding of their project by using the DAO funds.
Physical Asset,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,A physical asset is an item of economic[comma] commercial[comma] or exchange value that has a material existence. Physical assets are also known as tangible assets. For most businesses[comma] physical assets usually refer to properties[comma] equipment[comma] and inventory.
Registry,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,Registry
