[MoSCoW],Case Study 4
Self-assessment option,M
Certification,S
Score,S
Results can be published,C
Predefined indicators,S
Extendable with indicators,C
Question/indicator explanation,S
Official tool support,S
Offline tool,C
Online tool,S
Whistle blowing mechanism,S
Built-in survey tool,C
Infographic generation,S
Network tool (connect organisations),C
Many users in one account,W
Tool is continuously improved,S
Internal validation,S
Peer review,S
External audit,C
Existence of network,C
Democratic method development,S
Method is continuously improved,C
Input from the community,C
Local network groups,C
Network specific events,C
Helpdesk,S
Training material,C
Online directory,M
Map,C
Official label/logo for members,M
Newsletter,C
Social topics,S
Environmental topics,M
Support SIP,S
Suggested goals,S
Ideas for improvements,S
Existence of social market,C
Discount from members,
Mapping to SDGs,C
Workshop/webinar on SDGs,C
Existence of aggregated report,S
Comparing results within network,M
Serious blogs (medium[comma] network website[comma] etc.),C
Major newspapers (local),C
Expelling members,S
Commitment statement,C
Public manuals,S
Mentioned in scientific papers,C
Tool or method adapts to organisational characteristics (e.g. size or industry),S
Principle based,S
Popularity in the market,S
Network maturity,M
