[Grouping],Order,UpperLevel
Self-assessment option,Self-assessment,NULL
Certification,Obtain certification,NULL
Score,Obtain certification,NULL
Results can be published,Obtain certification,NULL
Predefined indicators,Indicators,NULL
Extendable with indicators,Indicators,NULL
Question/indicator explanation,Indicators,NULL
Official tool support,Tool support,NULL
Offline tool,Tool support,NULL
Online tool,Tool support,NULL
Whistle blowing mechanism,Tool support,NULL
Built-in survey tool,Tool support,NULL
Infographic generation,Tool support,NULL
Network tool (connect organisations),Tool support,NULL
Many users in one account,Tool support,NULL
Tool is continuously improved,Tool support,NULL
Internal validation,Audit,NULL
Peer review,Audit,NULL
External audit,Audit,NULL
Existence of network,Network,NULL
Democratic method development,Network,NULL
Method is continuously improved,Network,NULL
Input from the community,Network,NULL
Local network groups,Network,NULL
Network specific events,Network,NULL
Helpdesk,Network,NULL
Training material,Network,NULL
Online directory,Visualisation mechanisms,NULL
Map,Visualisation mechanisms,NULL
Official label/logo for members,Visualisation mechanisms,NULL
Newsletter,Visualisation mechanisms,NULL
Social topics,Completeness,NULL
Environmental topics,Completeness,NULL
Support SIP,Identify improvement areas,NULL
Suggested goals,Identify improvement areas,NULL
Ideas for improvements,Identify improvement areas,NULL
Existence of social market,Enter social market,NULL
Discount from members,Enter social market,NULL
Mapping to SDGs,SDGs,NULL
Workshop/webinar on SDGs,SDGs,NULL
Existence of aggregated report,Benchmarking,NULL
Comparing results within network,Benchmarking,NULL
Serious blogs (medium[comma] network website[comma] etc.),Featured press,NULL
Major newspapers (local),Featured press,NULL
Expelling members,Reputation/credibility,NULL
Commitment statement,Reputation/credibility,NULL
Public manuals,Reputation/credibility,NULL
Mentioned in scientific papers,Reputation/credibility,NULL
Tool or method adapts to organisational characteristics (e.g. size or industry),Method flexibility,NULL
Principle based,Method flexibility,NULL
Popularity in the market,Qualitive analysis,NULL
Network maturity,Qualitive analysis,NULL
