[SF],Functional completeness,Functional correctness,Functional appropriateness,Maturity,Availability,Fault tolerance,Recoverability,Time behavior,Resource utilization,Capacity,Appropriateness recognizability,Learnability,Operability,User error protection,User interface aesthetics,Accessibility,Modularity,Reusability,Analyzability,Modifiability,Testability,Confidentiality,Integrity,Non-repudiation,Accountability,Authenticity,Co-existence,Interoperability,Adaptability,Installability,Replaceability,Organizational structure,Positioning and Strength,Reputation,Services Offered,Support,Licensing Schema,Licensing Costs,Platform Cost,Implementation Cost,Network Cost,Stability,Ownership,Deliverables,Parameterization / Customization,Guarantees,[Description]
local application-specific databases,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, local application-specific databases
Report and Analytics,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The built-in reporting features provide ready-to-use process metrics or process stats. The pre-built reports allow you to view, analyze, and collect insights on the workflows. Moreover, the report lists the combined number of requests at each stage like In-progress, completed & rejected. As a result, you can instantly check the workflow status to observe where their blockages are forming and develop an estimated completion time. "
Access control,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Access control
Active Community,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,"A community generally defined is a group of software practitioners who gathered in a place to achieve a common goal."
Administrative controls,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Administrative controls are procedure and policy designs that lessen the threat of a hazard to an individual. Administrative controls typically change the behavior of people rather than removing the actual hazard.
Application and portfolio management ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Application and portfolio management 
Application lifecycle manager,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Application lifecycle manager
Built-in team collaboration,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Team collaboration is a communication and project management approach that emphasizes teamwork, innovative thinking and equal participation to achieve objectives. "
Business Analysts,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,"Business Analysts users are people whom have certain knowledge on software development, but are not developers (e.g. knowledge on databases, familiarity with data types such as strings and integers). It is hard to define how much technical knowledge these people require, therefore we simply position this user type as more knowledgeable (regarding software development) than a domain expert, but less than a developer."
Case flow,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,"Case flows are more dynamic than processes, in the sense that a state can jump to multiple other states. Case flows are defined as ?proceedings that involve actions taken regarding a subject in a particular situation to achieve a desired outcome?. The standard provided by the OMG (2014a) is Case Management Modeling Notation (CMMN)."
