[Grouping],Order,UpperLevel
Self-assessment option,Self-assessment,NULL
Certification,ESEA method specification,NULL
Score,ESEA results,NULL
Results can be published,ESEA results,NULL
Predefined indicators,ESEA method specification,NULL
Extendable with indicators,ESEA method specification,NULL
Question/indicator explanation,ESEA support,NULL
Official tool support,ESEA ICT support,NULL
Offline tool,ESEA ICT support,NULL
Online tool,ESEA ICT support,NULL
Whistle blowing mechanism,ESEA ICT support,NULL
Built-in survey tool,ESEA ICT support,NULL
Infographic generation,ESEA ICT support,NULL
Network tool (connect organisations),ESEA ICT support,NULL
Many users in one account,ESEA ICT support,NULL
Tool is continuously improved,ESEA ICT support,NULL
Internal validation,ESEA results,NULL
Peer review,ESEA results,NULL
External audit,ESEA results,NULL
Existence of network,Network of organisations,NULL
Democratic method development,Network of organisations,NULL
Method is continuously improved,Network of organisations,NULL
Input from the community,Network of organisations,NULL
Local network groups,Network of organisations,NULL
Network specific events,Network of organisations,NULL
Helpdesk,ESEA support,NULL
Training material,ESEA support,NULL
Online directory,ESEA results,NULL
Map,ESEA results,NULL
Official label/logo for members,ESEA results,NULL
Newsletter,Network of organisations,NULL
Social topics,ESEA method specification,NULL
Environmental topics,ESEA method specification,NULL
Support SIP,Improvement planning,NULL
Suggested goals,Improvement planning,NULL
Ideas for improvements,Improvement planning,NULL
Existence of social market,Social market,NULL
Discount from members,Social market,NULL
Mapping to SDGs,Alignment with SDGs,NULL
Workshop/webinar on SDGs,Alignment with SDGs,NULL
Existence of aggregated report,ESEA results,NULL
Comparing results within network,ESEA results,NULL
"Serious blogs (medium, network website, etc.)",Method/network reputation,NULL
Major newspapers (local),Method/network reputation,NULL
Expelling members,Method/network reputation,NULL
Commitment statement,Method/network reputation,NULL
Public manuals,Method/network reputation,NULL
Mentioned in scientific papers,Method/network reputation,NULL
Tool or method adapts to organisational characteristics (e.g. size or industry),ESEA method specification,NULL
Principle based,ESEA method specification,NULL
Popularity in the market,Qualitive analysis,NULL
Network maturity,Qualitive analysis,NULL
